1,0, Private,215646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States,38
37,1, Private,84154, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,38.0, ?,31
38,0, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,48
39,0, Private,507875, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,43.0, United-States,31
40,0, Self-emp-not-inc,88506, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,53
41,0, Private,172987, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,50.0, United-States,24
42,0, Private,94638, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States,49
43,0, Private,289980, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,35.0, United-States,25
44,1, Federal-gov,337895, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0.0,0.0,40.0, United-States,57
45,0, Private,144361, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,38.0, United-States,53
46,0, Private,128354, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,40.0, United-States,44
47,0, State-gov,101603, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,41
48,0, Private,271466, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,43.0, United-States,29
49,0, Private,32275, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0.0,0.0,40.0, United-States,25
50,0, Private,226956, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0.0,0.0,30.0, ?,18
51,1, Private,51835, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,1902.0,60.0, Honduras,47
52,1, Federal-gov,251585, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,55.0, United-States,50
53,0, Self-emp-inc,109832, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,60.0, United-States,47
54,1, Private,237993, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States,43
55,0, Private,216666, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, Mexico,46
56,0, Private,56352, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, Puerto-Rico,35
57,0, Private,147372, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,48.0, United-States,41
58,0, Private,188146, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013.0,0.0,40.0, United-States,30
59,0, Private,59496, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,2407.0,0.0,40.0, United-States,30
60,0, ?,293936, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male,0.0,0.0,40.0, ?,32
61,0, Private,149640, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States,48
62,1, Private,116632, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,45.0, United-States,42
63,0, Private,105598, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,0.0,0.0,58.0, United-States,29
64,0, Private,155537, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,36
65,0, Private,183175, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,28
66,1, Private,169846, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,40.0, United-States,53
67,1, Self-emp-inc,191681, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States,49
68,0, ?,200681, Some-college,10, Never-married, ?, Own-child, White, Male,0.0,0.0,40.0, United-States,25
69,0, Private,101509, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0.0,0.0,32.0, United-States,19
70,0, Private,309974, Bachelors,13, Separated, Sales, Own-child, Black, Female,0.0,0.0,40.0, United-States,31
71,1, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,70.0, United-States,29
72,0, Private,211678, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0.0,0.0,40.0, United-States,23
73,0, Private,124744, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0.0,0.0,20.0, United-States,79
74,0, Private,213921, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0.0,0.0,40.0, Mexico,27
75,0, Private,32214, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States,40
76,0, ?,212759, 10th,6, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,2.0, United-States,67
77,0, Private,309634, 11th,7, Never-married, Other-service, Own-child, White, Female,0.0,0.0,22.0, United-States,18
78,0, Local-gov,125927, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States,31
79,0, Private,446839, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,30.0, United-States,18
80,0, Private,276515, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, Cuba,52
81,0, Private,51618, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0.0,0.0,40.0, United-States,46
82,0, Private,159937, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,48.0, United-States,59
83,1, Private,343591, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,14344.0,0.0,40.0, United-States,44
84,0, Private,346253, HS-grad,9, Divorced, Sales, Own-child, White, Female,0.0,0.0,35.0, United-States,53
85,1, Local-gov,268234, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States,49
86,0, Private,202051, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States,33
87,0, Private,54334, 9th,5, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States,30
88,1, Federal-gov,410867, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,50.0, United-States,43
89,0, Private,249977, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,57
90,0, Private,286730, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0.0,0.0,40.0, United-States,37
91,0, Private,212563, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0.0,0.0,25.0, United-States,28
92,0, Private,117747, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0.0,1573.0,35.0, ?,30
93,1, Local-gov,226296, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States,34
94,0, Local-gov,115585, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,50.0, United-States,29
95,1, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,1902.0,60.0, United-States,48
96,1, Private,202683, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,48.0, United-States,37
97,0, Private,171095, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,40.0, England,48
98,0, Federal-gov,249409, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0.0,0.0,40.0, United-States,32
99,1, Private,124191, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States,76
100,1, Private,198282, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024.0,0.0,60.0, United-States,44
101,0, Self-emp-not-inc,149116, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,50.0, United-States,47
102,0, Private,188300, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0.0,0.0,40.0, United-States,20
103,0, Private,103432, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,29
104,1, Self-emp-inc,317660, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688.0,0.0,40.0, United-States,32
105,0, ?,304873, 10th,6, Never-married, ?, Own-child, White, Female,34095.0,0.0,32.0, United-States,17
106,0, Private,194901, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,40.0, United-States,30
107,0, Local-gov,189265, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,31
108,0, Private,124692, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States,42
109,0, Private,432376, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0.0,0.0,40.0, United-States,24
110,1, Private,65324, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,38
111,1, Self-emp-not-inc,335605, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0.0,1887.0,50.0, Canada,56
112,0, Private,377869, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,4064.0,0.0,25.0, United-States,28
113,0, Private,102864, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0.0,0.0,40.0, United-States,36
114,0, Private,95647, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,50.0, United-States,53
115,0, Self-emp-inc,303090, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, United-States,56
116,1, Local-gov,197371, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0.0,0.0,40.0, United-States,49
117,0, Private,247552, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,56.0, United-States,55
118,0, Private,102632, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,41.0, United-States,22
119,0, Private,199915, Some-college,10, Never-married, Other-service, Own-child, White, Female,0.0,0.0,40.0, United-States,21
120,0, Private,118853, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,60.0, United-States,40
121,0, Private,77143, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,0.0,0.0,40.0, Germany,30
122,1, State-gov,267989, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States,29
123,0, Private,301606, Some-college,10, Never-married, Other-service, Own-child, Black, Male,0.0,0.0,35.0, United-States,19
124,1, Private,287828, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,40.0, United-States,47
125,0, Private,111697, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0.0,1719.0,28.0, United-States,20
126,1, Private,114937, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States,31
127,0, ?,129305, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,40.0, United-States,35
128,0, Private,365739, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,39
129,0, Private,69621, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,60.0, United-States,28
130,0, Private,43323, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0.0,1762.0,40.0, United-States,24
131,0, Self-emp-not-inc,120985, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4386.0,0.0,35.0, United-States,38
132,0, Private,254202, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, United-States,37
133,0, Private,146195, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,0.0,0.0,36.0, United-States,46
134,1, Federal-gov,125933, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, Iran,38
135,0, Self-emp-not-inc,56920, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,60.0, United-States,43
136,0, Private,163127, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,35.0, United-States,27
137,0, Private,34310, Some-college,10, Never-married, Sales, Own-child, White, Male,0.0,0.0,20.0, United-States,20
138,1, Private,81973, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, United-States,49
139,0, Self-emp-inc,66614, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,61
140,0, Private,232782, Some-college,10, Never-married, Sales, Own-child, White, Female,0.0,0.0,40.0, United-States,27
141,0, Private,316868, Some-college,10, Never-married, Other-service, Own-child, White, Male,0.0,0.0,30.0, Mexico,19
142,1, Private,196584, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,1564.0,40.0, United-States,45
143,0, Private,105376, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,0.0,0.0,40.0, United-States,70
144,0, Private,185814, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,0.0,0.0,30.0, United-States,31
145,0, Private,175374, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,24.0, United-States,22
146,0, Private,108293, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0.0,0.0,24.0, United-States,36
147,0, Private,181232, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,2179.0,40.0, United-States,64
148,0, ?,174662, Some-college,10, Divorced, ?, Not-in-family, White, Female,0.0,0.0,40.0, United-States,43
149,0, Local-gov,186009, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,38.0, Mexico,47
150,0, Private,198183, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,34
151,0, Private,163003, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0.0,0.0,40.0, Philippines,33
152,0, Private,296158, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,35.0, United-States,21
153,1, ?,252903, HS-grad,9, Divorced, ?, Not-in-family, White, Male,0.0,0.0,45.0, United-States,52
154,0, Private,187715, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,46.0, United-States,48
155,0, Private,214542, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States,23
156,0, Self-emp-not-inc,494223, Some-college,10, Separated, Sales, Unmarried, Black, Male,0.0,1816.0,2.0, United-States,71
157,0, Private,191535, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,60.0, United-States,29
158,0, Private,228456, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,0.0,0.0,50.0, United-States,42
159,0, ?,38317, 1st-4th,2, Divorced, ?, Not-in-family, White, Female,0.0,0.0,20.0, United-States,68
160,0, Private,252752, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0.0,0.0,40.0, United-States,25
161,0, Self-emp-inc,78374, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0.0,0.0,40.0, United-States,44
162,0, Private,88419, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0.0,0.0,40.0, England,28
163,1, Self-emp-not-inc,201080, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States,45
164,0, Private,207157, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0.0,0.0,40.0, Mexico,36
165,0, Federal-gov,235485, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,42.0, United-States,39
166,0, State-gov,102628, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,0.0,0.0,40.0, United-States,46
167,0, Private,25828, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,16.0, United-States,18
168,0, Local-gov,54826, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,0.0,0.0,20.0, United-States,66
169,0, Private,124953, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0.0,1980.0,40.0, United-States,27
170,0, State-gov,175325, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States,28
171,1, Private,96062, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0.0,1977.0,40.0, United-States,51
172,0, Private,428030, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,50.0, United-States,27
173,1, State-gov,149624, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,28
174,0, Private,253814, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,0.0,0.0,25.0, United-States,27
175,0, Private,312956, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0.0,0.0,40.0, United-States,21
176,0, Private,483777, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0.0,0.0,40.0, United-States,34
177,0, Private,183930, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0.0,0.0,12.0, United-States,18
178,0, Private,37274, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,65.0, United-States,33
179,1, Local-gov,181344, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,38.0, United-States,44
180,0, Private,114580, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,43
181,0, Private,633742, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0.0,0.0,45.0, United-States,30
182,1, Private,286370, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, Mexico,40
183,1, Federal-gov,29054, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,42.0, United-States,37
184,0, Private,304030, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0.0,0.0,40.0, United-States,34
185,0, Self-emp-not-inc,143129, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States,41
186,0, ?,135105, Bachelors,13, Divorced, ?, Not-in-family, White, Female,0.0,0.0,50.0, United-States,53
187,0, Private,99928, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,50.0, United-States,31
188,1, State-gov,109567, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,1.0, United-States,58
189,0, Private,155222, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0.0,0.0,28.0, United-States,38
190,0, Private,159567, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States,24
191,0, Local-gov,523910, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0.0,0.0,40.0, United-States,41
192,0, Private,120939, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,45.0, United-States,47
193,0, Federal-gov,130760, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,24.0, United-States,41
194,0, Private,197387, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0.0,0.0,40.0, Mexico,23
195,0, Private,99374, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,36
196,1, Federal-gov,56795, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084.0,0.0,55.0, United-States,40
197,1, Private,138992, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298.0,0.0,40.0, United-States,35
198,0, Self-emp-not-inc,32921, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States,24
199,0, Private,397317, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,1876.0,40.0, United-States,26
200,0, ?,170653, HS-grad,9, Never-married, ?, Own-child, White, Male,0.0,0.0,40.0, Italy,19
201,1, Private,259323, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States,51
202,0, Local-gov,254817, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,1340.0,40.0, United-States,42
203,0, State-gov,48211, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,35.0, United-States,37
204,0, Private,140164, 11th,7, Never-married, Sales, Own-child, White, Female,0.0,0.0,40.0, United-States,18
205,1, Private,128757, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,7298.0,0.0,36.0, United-States,36
206,0, Private,36270, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,60.0, United-States,35
207,1, Self-emp-inc,210563, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,15024.0,0.0,35.0, United-States,58
208,0, Private,65368, 11th,7, Never-married, Sales, Own-child, White, Female,0.0,0.0,12.0, United-States,17
209,0, Local-gov,160943, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0.0,0.0,40.0, United-States,44
210,1, Private,208358, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,37
211,0, Private,153790, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, United-States,35
212,0, Private,85815, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, United-States,60
213,1, Self-emp-inc,125417, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States,54
214,1, Private,635913, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0.0,0.0,60.0, United-States,37
215,0, Private,313321, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States,50
216,0, Private,182609, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, Poland,38
217,0, Private,109434, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,55.0, United-States,45
218,0, Private,255004, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,25
219,0, Private,197860, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States,31
220,0, ?,187656, 1st-4th,2, Divorced, ?, Not-in-family, White, Male,0.0,0.0,40.0, United-States,64
221,0, Private,51744, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,0.0,2206.0,40.0, United-States,90
222,0, Private,176681, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0.0,0.0,20.0, United-States,54
223,0, Local-gov,140359, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0.0,0.0,35.0, United-States,53
